Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Peru,PER,"Children out of school, primary",SE.PRM.UNER,..,..,77700,148636,137484,61511,9053,3001,9176,..
Philippines,PHL,"Children out of school, primary",SE.PRM.UNER,737647,799504,913638,971896,1007092,845764,826193,1455079,1339277,..
Poland,POL,"Children out of school, primary",SE.PRM.UNER,90018,..,..,114695,110315,83029,23857,3160,968,..
Portugal,PRT,"Children out of school, primary",SE.PRM.UNER,873,7521,10783,10838,8607,4210,1224,402,..,..
Puerto Rico,PRI,"Children out of school, primary",SE.PRM.UNER,9743,6713,15601,..,9925,..,..,..,..,..
Qatar,QAT,"Children out of school, primary",SE.PRM.UNER,7541,5093,2268,121,953,2887,3403,..,..,..
Romania,ROU,"Children out of school, primary",SE.PRM.UNER,..,86119,95932,99956,87591,76877,75254,92551,..,..
Russian Federation,RUS,"Children out of school, primary",SE.PRM.UNER,163509,49972,43139,4815,6396,1232,26154,26811,139533,..
Rwanda,RWA,"Children out of school, primary",SE.PRM.UNER,..,..,102454,117677,139090,162562,..,174116,..,..
Samoa,WSM,"Children out of school, primary",SE.PRM.UNER,470,14.0719995498657,271.894989013672,88.5940017700195,376.559997558594,482,1779,382.213012695312,330.290985107422,..
San Marino,SMR,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,62,62,40,38,..
Sao Tome and Principe,STP,"Children out of school, primary",SE.PRM.UNER,2919,3188,..,1199,..,..,..,..,..,..
Saudi Arabia,SAU,"Children out of school, primary",SE.PRM.UNER,131564,76527,78921,..,..,..,83195,89631,74973,..
Senegal,SEN,"Children out of school, primary",SE.PRM.UNER,553510,565585,..,..,..,640524,620532,709093,741881,..
Serbia,SRB,"Children out of school, primary",SE.PRM.UNER,804,364,814,1662,3403,4914,6651,9820,32502,..
Seychelles,SYC,"Children out of school, primary",SE.PRM.UNER,3,8,241,278,247,366,321,343,200,..
Sierra Leone,SLE,"Children out of school, primary",SE.PRM.UNER,..,16204,20421,..,..,..,..,..,..,..
Singapore,SGP,"Children out of school, primary",SE.PRM.UNER,1161.1650390625,555.179992675781,24,72,476,236,268,1520,..,..
Sint Maarten (Dutch part),SXM,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,"Children out of school, primary",SE.PRM.UNER,13766,13763,15084,13637,16561,14191,11607,10060,6651,..
Slovenia,SVN,"Children out of school, primary",SE.PRM.UNER,2175,2011,2694,2606,1962,1705,1338,2011,1596,..
Solomon Islands,SLB,"Children out of school, primary",SE.PRM.UNER,872,1192,..,..,5337,6800,..,..,..,..
Somalia,SOM,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Children out of school, primary",SE.PRM.UNER,..,352328,..,281533,588488,620606,740266,568104,..,..
South Sudan,SSD,"Children out of school, primary",SE.PRM.UNER,..,1119759,..,..,..,..,..,..,..,..
Spain,ESP,"Children out of school, primary",SE.PRM.UNER,82113,89453,87042,80898,72907,60574,53226,52881,..,..
Sri Lanka,LKA,"Children out of school, primary",SE.PRM.UNER,115935,70456,57926,3422.46411132812,102.91300201416,64330,46742,55438,..,..
St. Kitts and Nevis,KNA,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
St. Lucia,LCA,"Children out of school, primary",SE.PRM.UNER,1341,1102,1141,1084,961,798,769,549,311,..
St. Martin (French part),MAF,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,188.910003662109,..
Sudan,SDN,"Children out of school, primary",SE.PRM.UNER,2330781,2410734,2420721,2423403,2229308,..,..,..,..,..
Suriname,SUR,"Children out of school, primary",SE.PRM.UNER,11849,10696,9814,12121,11675,10254,9487,12589,..,..
Sweden,SWE,"Children out of school, primary",SE.PRM.UNER,8227,5305,2759,1099,3375,5585,5106,3811,4274,..
Switzerland,CHE,"Children out of school, primary",SE.PRM.UNER,59,157,425,629,661,542,713,1236,1399,..
Syrian Arab Republic,SYR,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,1080112,1035397,844389,643032
Tajikistan,TJK,"Children out of school, primary",SE.PRM.UNER,67131,61936,52193,32220,..,..,..,..,..,..
Tanzania,TZA,"Children out of school, primary",SE.PRM.UNER,1669207,1971919,1719050,1801871,2106334,1886139,1934166,1745627,..,..
Thailand,THA,"Children out of school, primary",SE.PRM.UNER,..,..,..,135665.5625,137587,89408,123061,81923,10441.9990234375,106430
Timor-Leste,TLS,"Children out of school, primary",SE.PRM.UNER,12735,12549,12989,8533,10250,10666,9244,..,..,..
Togo,TGO,"Children out of school, primary",SE.PRM.UNER,86230,67702,100419,102338,85416,64600,14917,13619,12961,..
Tonga,TON,"Children out of school, primary",SE.PRM.UNER,69.3290023803711,136.315002441406,..,..,60.875,198,203.128005981445,242.742004394531,100.035003662109,..
